userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,66.15043640136719) (51,65.4227294921875)* (3768,65.3507080078125) (1394,64.4457015991211) (1713,64.39132690429688) (993,64.32386016845703) (1073,64.26799774169922) (187,64.22413635253906) (1836,64.13740539550781) (238,64.06130981445312) (1013,64.01664733886719) (880,63.98378372192383) (70,63.80134963989258)* (1014,63.77664566040039) (1098,63.73700714111328) (6930,63.67742919921875) (157,63.67721176147461) (1379,63.67655563354492) (997,63.663516998291016) (59,63.57740783691406)*
3: (8633,63.026763916015625) (5866,63.004905700683594) (9458,62.850345611572266) (5886,62.68437194824219) (3703,62.63852310180664) (5884,62.53931427001953) (5861,62.48075866699219) (749,62.444435119628906) (5859,62.415672302246094) (5860,62.40631103515625) (5856,62.38721466064453) (7472,62.335941314697266) (5878,62.22829055786133) (5870,62.046485900878906) (5882,62.04580307006836) (5867,62.04190444946289) (5881,62.040225982666016) (5864,62.03106689453125) (1222,62.025596618652344) (5872,61.969932556152344)
4: (190,69.32746124267578)* (166,68.79365539550781)* (518,68.70561981201172) (159,68.70148468017578)* (172,68.6664047241211)* (511,68.56672668457031) (959,68.51502990722656) (378,68.39533233642578) (316,68.38495635986328) (930,68.3372573852539) (2014,68.2491455078125) (1001,68.08374786376953) (1104,67.84262084960938) (5079,67.80464935302734) (233,67.67271423339844) (7,67.62275695800781) (1375,67.62263488769531) (506,67.6197280883789) (1098,67.60401153564453) (63,67.57756042480469)
5: (418,62.092552185058594) (163,62.0191535949707) (220,61.356388092041016)* (859,61.30955505371094) (1958,61.28178024291992) (88,61.269840240478516) (964,61.14789962768555) (602,61.098304748535156) (223,61.06336975097656)* (1412,61.05377960205078) (632,61.034481048583984) (709,60.98347473144531) (614,60.967864990234375) (436,60.954158782958984) (615,60.866615295410156) (416,60.84569549560547) (65,60.74968338012695) (65,60.74968338012695) (1239,60.63289260864258) (429,60.61087417602539)
6: (2220,66.5953598022461) (8991,65.83106994628906) (10041,65.51849365234375) (157,65.3875503540039) (251,65.2143325805664)* (67,64.9330825805664) (67,64.9330825805664) (13929,64.91841125488281) (8071,64.86576843261719) (567,64.72879791259766) (913,64.66405487060547) (253,64.63745880126953)* (6376,64.63565826416016) (8372,64.51667785644531) (329,64.50517272949219) (9905,64.3614501953125) (310,64.30551147460938) (301,64.30404663085938) (295,64.30347442626953) (6389,64.28530883789062)
7: (292,64.6585693359375)* (333,64.42835998535156)* (302,64.14700317382812)* (701,64.08665466308594) (466,63.64606475830078) (55,63.58489227294922)* (349,63.463417053222656) (461,63.176429748535156) (679,63.17485809326172) (318,63.054100036621094)* (525,63.006587982177734) (498,62.579925537109375) (344,62.432655334472656) (1934,62.3730354309082) (907,62.303672790527344) (352,62.274749755859375) (285,62.05492401123047) (903,62.025169372558594) (157,62.00299072265625) (680,61.85728454589844)
8: (2462,70.55330657958984) (1438,70.05509185791016) (909,69.98418426513672) (290,69.98099517822266) (798,69.77265930175781) (3576,69.76953887939453) (67,69.7157211303711) (67,69.7157211303711) (637,69.49905395507812) (701,69.46955871582031) (465,69.44603729248047) (1475,69.43379211425781) (479,69.4253921508789) (291,69.41898345947266)* (2392,69.41871643066406) (302,69.41175842285156)* (1459,69.34923553466797) (2395,69.32867431640625) (299,69.26970672607422) (686,69.25244140625)
9: (390,71.07272338867188)* (1919,70.8748550415039) (4502,70.65130615234375) (930,70.56617736816406) (3324,70.33033752441406) (1339,70.31873321533203) (1044,70.09866333007812) (2100,70.07711791992188) (2096,70.06232452392578) (2806,70.04779052734375) (5087,70.00178527832031) (2514,69.8729248046875) (2944,69.76888275146484) (2655,69.68463134765625) (2500,69.60624694824219) (754,69.50117492675781) (2101,69.46371459960938) (957,69.44046020507812) (1910,69.40348815917969) (917,69.36872863769531)
10: (618,62.591468811035156) (207,62.1778564453125) (225,61.80066680908203)* (217,61.75468826293945)* (1390,61.741580963134766) (227,61.662879943847656) (629,61.594730377197266) (615,61.524139404296875) (1090,61.2724609375) (1400,61.26402282714844) (2277,61.25617599487305) (604,61.18434524536133) (1424,61.0240478515625) (1633,60.97481918334961) (1048,60.926509857177734) (427,60.89859390258789)* (222,60.78736877441406) (210,60.78569412231445) (1239,60.78138732910156) (195,60.73521041870117)
11: (475,68.64231872558594)* (306,68.60432434082031)* (295,68.31761169433594)* (89,68.18467712402344)* (333,67.95428466796875) (329,67.84329986572266)* (330,67.77302551269531) (300,67.70635223388672)* (257,67.6125717163086) (701,67.58872985839844) (907,67.57162475585938) (1613,67.36174011230469) (1444,67.34709167480469) (327,67.27691650390625)* (331,66.86323547363281) (302,66.85629272460938) (161,66.82124328613281) (498,66.80506896972656) (545,66.6635513305664) (378,66.48660278320312)
12: (1854,68.98238372802734) (1179,68.64729309082031) (209,68.4453353881836) (1874,68.2683334350586) (1180,68.175048828125) (1672,68.0671615600586) (536,67.91902923583984) (1044,67.82191467285156) (500,67.81645202636719)* (537,67.80961608886719) (2014,67.7716293334961) (498,67.75623321533203)* (830,67.57026672363281) (1091,67.51168823242188) (1104,67.4337158203125) (7,67.34966278076172) (930,67.27955627441406) (1145,67.25487518310547) (2956,67.21739196777344) (490,67.20683288574219)*
13: (288,68.33565521240234) (289,68.1326675415039) (302,67.01488494873047)* (306,66.92071533203125) (701,66.89659118652344) (328,66.84933471679688)* (291,66.71271514892578) (704,66.25041198730469) (680,66.06898498535156) (349,65.97721862792969)* (294,65.87394714355469) (679,65.86824035644531) (344,65.84137725830078)* (377,65.77680206298828) (331,65.72892761230469) (293,65.71746826171875) (324,65.46214294433594) (475,65.43156433105469) (486,65.33165740966797) (907,65.30612182617188)
14: (2902,67.77644348144531) (7239,67.00630187988281) (8314,65.59140014648438) (2842,64.99017333984375) (8812,64.92454528808594) (9424,64.2142105102539) (585,64.20159149169922)* (10041,64.11477661132812) (2871,64.00897979736328) (735,63.963157653808594) (96,63.95529556274414) (8126,63.85432815551758) (7056,63.782386779785156) (2899,63.67635726928711) (2893,63.598175048828125) (8311,63.56531524658203) (3024,63.45753479003906) (286,63.380165100097656) (2127,63.36681365966797) (5452,63.293792724609375)
15: (197,65.78251647949219)* (163,65.48868560791016) (1958,64.76296997070312) (418,64.71944427490234) (1242,64.570556640625) (2475,64.3219985961914) (1130,64.30171203613281) (11124,64.30073547363281) (231,64.25387573242188) (52,64.17414855957031) (52,64.17414855957031) (238,64.13642120361328) (748,64.0608901977539) (1881,64.06017303466797) (3065,64.0148696899414) (2629,63.89255905151367) (235,63.87549591064453) (2265,63.8441047668457) (735,63.811805725097656) (53,63.77543258666992)
16: (16149,65.48912048339844) (375,65.33091735839844) (803,65.2713623046875) (354,65.19409942626953) (2094,65.01748657226562) (800,64.97510528564453) (669,64.90495300292969)* (3324,64.8360824584961) (16147,64.80109405517578) (296,64.59203338623047) (2097,64.57496643066406) (2102,64.51658630371094) (2800,64.51239013671875) (379,64.47653198242188) (4880,64.41767883300781) (3572,64.40821838378906) (16145,64.2630844116211) (5574,64.21969604492188) (1918,64.17432403564453) (6232,64.10497283935547)
