userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,19.14917755126953) (187,17.879959106445312) (1073,17.69434356689453) (51,17.44790267944336)* (238,16.99650001525879) (1014,16.93637466430664) (157,16.921934127807617) (1394,16.867881774902344) (1098,16.862279891967773) (1156,16.79456329345703) (3992,16.552627563476562) (3501,16.521425247192383) (1795,16.505102157592773) (70,16.474353790283203)* (511,16.19260597229004) (877,15.860902786254883) (993,15.845769882202148) (1713,15.836653709411621) (1836,15.747299194335938) (155,15.697300910949707)
3: (6004,21.900726318359375) (2811,21.518354415893555) (10370,20.47037696838379) (11074,20.254070281982422) (18714,19.292282104492188) (18719,19.23609161376953) (18724,19.225000381469727) (18722,19.201618194580078) (18710,19.19936180114746) (18717,19.159393310546875) (18715,19.158966064453125) (18718,19.141843795776367) (18723,19.136180877685547) (18708,19.12935447692871) (4122,19.11238670349121) (10364,19.107521057128906) (12258,19.105228424072266) (12255,19.10270881652832) (18712,19.100688934326172) (18711,19.089244842529297)
4: (190,20.38561248779297)* (3501,18.717662811279297) (1410,18.56072235107422) (722,18.333751678466797) (1379,18.170358657836914) (511,18.054964065551758) (67,17.942161560058594) (67,17.942161560058594) (1713,17.789268493652344) (1098,17.779996871948242) (1118,17.72516441345215) (1001,17.700519561767578) (238,17.667953491210938) (3046,17.648019790649414) (233,17.644943237304688) (70,17.468603134155273)* (1131,17.35809326171875) (229,17.34632110595703) (1116,17.320966720581055) (529,17.243684768676758)
5: (210,18.555116653442383)* (858,18.48475456237793) (418,18.43583869934082) (615,18.347599029541016) (436,18.300630569458008) (170,17.974454879760742) (604,17.874420166015625) (715,17.604936599731445) (65,17.57779884338379) (65,17.57779884338379) (1510,17.409183502197266) (3057,17.370567321777344) (1633,17.239500045776367) (533,17.161285400390625) (1090,17.156044006347656) (964,17.065959930419922) (173,17.032682418823242)* (416,17.016530990600586) (159,16.875703811645508) (424,16.84647560119629)
6: (301,17.951976776123047) (1935,17.219280242919922) (1613,17.20110511779785) (2220,17.130416870117188) (913,16.952503204345703) (157,16.90987205505371) (251,16.863645553588867)* (331,16.840286254882812) (322,16.705415725708008) (15922,16.68435287475586) (1936,16.68126678466797) (15921,16.57648277282715) (9907,16.508451461791992) (11078,16.316152572631836) (3488,16.266117095947266) (468,16.081663131713867) (10997,15.882081985473633) (4696,15.867681503295898) (484,15.830978393554688) (3318,15.824219703674316)
7: (292,16.354040145874023)* (349,16.347036361694336) (302,16.228200912475586)* (318,15.865517616271973)* (461,15.835099220275879) (333,15.718053817749023)* (701,15.704827308654785) (523,15.468504905700684) (290,15.465707778930664)* (466,15.418027877807617) (344,15.367233276367188) (456,15.236879348754883) (465,15.043699264526367) (908,15.020402908325195) (525,14.957512855529785) (55,14.92415714263916)* (1459,14.88692569732666) (907,14.83993148803711) (686,14.729568481445312) (679,14.708147048950195)
8: (465,15.922112464904785) (786,15.854072570800781) (291,15.851213455200195)* (909,15.847135543823242) (1602,15.837324142456055) (455,15.60104751586914) (294,15.291572570800781) (2019,14.943011283874512) (479,14.802998542785645) (305,14.720052719116211) (2024,14.66315746307373) (2523,14.592660903930664) (301,14.5643949508667) (326,14.55186653137207) (311,14.177762985229492)* (3575,14.176643371582031) (1459,14.163711547851562) (701,14.144407272338867) (290,14.116085052490234) (342,14.076952934265137)*
9: (1918,17.188404083251953) (3124,16.140132904052734) (3494,15.780580520629883) (4980,15.71279525756836) (6257,15.634904861450195) (2092,15.568662643432617) (6812,15.498092651367188) (378,15.420271873474121)* (3324,15.402791023254395) (6397,15.187613487243652) (2014,15.147348403930664) (518,15.146172523498535) (497,14.846641540527344) (2086,14.821918487548828) (25,14.683675765991211) (504,14.675948143005371) (487,14.65938949584961) (5565,14.653160095214844) (2432,14.596089363098145) (2097,14.544851303100586)
10: (225,20.03567886352539)* (1090,18.996341705322266) (207,18.603309631347656) (210,18.560482025146484) (217,18.274944305419922)* (858,18.134695053100586) (1400,18.041547775268555) (615,18.011259078979492) (618,17.736980438232422) (206,17.619430541992188) (419,17.505672454833984)* (1632,17.383499145507812) (1048,17.37653160095215) (441,17.29336929321289)* (1097,17.269115447998047) (1151,17.233264923095703) (2582,17.13617706298828) (2277,16.979578018188477) (709,16.939247131347656) (1106,16.877973556518555)
11: (291,15.791909217834473) (329,15.460631370544434)* (257,15.355649948120117) (538,15.339816093444824) (295,15.26289176940918)* (333,15.22718620300293) (302,14.990220069885254) (913,14.910046577453613) (89,14.838639259338379)* (300,14.822821617126465)* (907,14.82213306427002) (360,14.734329223632812) (701,14.699006080627441) (326,14.649901390075684) (314,14.645317077636719) (966,14.543008804321289) (318,14.512174606323242) (306,14.493779182434082)* (310,14.4481840133667) (475,14.403040885925293)*
12: (1104,19.887264251708984) (1854,19.564083099365234) (371,19.48845863342285) (198,19.27362632751465) (7,19.109594345092773) (190,19.041757583618164) (407,18.35964012145996)* (978,18.290178298950195) (475,18.240585327148438) (1145,18.201505661010742) (1179,18.179716110229492) (1099,18.0614013671875) (726,18.054567337036133) (498,17.968088150024414)* (173,17.790706634521484) (966,17.774057388305664) (209,17.768844604492188) (2014,17.620563507080078) (1044,17.6187686920166) (808,17.595478057861328)
13: (289,19.11090087890625) (288,19.027437210083008) (302,18.460962295532227)* (306,18.298494338989258) (679,18.184207916259766) (701,17.935819625854492) (704,17.74500274658203) (328,17.442575454711914)* (344,17.290428161621094)* (680,17.138320922851562) (475,16.864242553710938) (349,16.8107852935791)* (686,16.7963809967041) (972,16.783340454101562) (291,16.740629196166992) (523,16.54230499267578)* (293,16.412221908569336) (2020,16.30121421813965) (464,16.28134536743164) (689,16.250808715820312)
14: (8110,19.40570068359375) (3024,18.118629455566406) (7056,18.11009979248047) (3778,17.850360870361328) (8118,17.756847381591797) (8108,17.727466583251953) (8124,16.96824073791504) (3004,16.89632797241211) (8116,16.879667282104492) (8113,16.822736740112305) (8112,16.80867576599121) (1227,16.761520385742188) (8111,16.73272132873535) (8115,16.73166275024414) (7426,16.695514678955078) (7407,16.66299819946289) (1686,16.603317260742188) (8126,16.570880889892578) (3019,16.498441696166992) (8119,16.417583465576172)
15: (418,17.745943069458008) (2616,17.465232849121094) (197,16.86922264099121)* (199,16.862634658813477) (1833,16.78635025024414) (163,16.77855682373047) (715,16.70414161682129) (4079,16.473560333251953) (1958,16.45307731628418) (206,16.414470672607422) (7147,16.40971565246582) (81,16.394758224487305) (1242,16.340517044067383) (4620,16.308349609375) (748,16.28934669494629) (11124,16.28086280822754) (1976,16.19382095336914) (11927,16.1650447845459) (604,15.980926513671875)* (7123,15.90882682800293)
16: (6002,16.725749969482422) (6001,16.416641235351562) (5994,16.414794921875) (5996,16.35452651977539) (6005,16.290103912353516) (5997,16.1766357421875) (7734,15.928293228149414) (476,15.801063537597656) (11813,15.781346321105957) (5999,15.570847511291504) (308,15.560614585876465) (4769,15.37032699584961) (8409,15.32363510131836) (6000,15.244254112243652) (354,15.174381256103516) (5683,15.149151802062988) (3491,15.09221363067627) (792,14.798466682434082) (3498,14.694665908813477) (350,14.600540161132812)
17: (333,17.034658432006836) (300,16.861387252807617)* (291,15.97152042388916) (528,15.700661659240723)* (293,15.569229125976562) (1459,15.487025260925293) (1684,15.41184139251709) (302,15.305842399597168) (523,15.262529373168945) (1246,15.235969543457031) (321,15.212940216064453) (1043,15.195301055908203) (1047,15.189427375793457) (1243,15.108576774597168) (318,15.095349311828613) (292,14.974491119384766)* (313,14.699129104614258) (5746,14.516152381896973) (908,14.449387550354004) (1934,14.434849739074707)
18: (1249,18.868362426757812) (2346,18.243032455444336) (959,18.007335662841797) (220,17.96999740600586)* (227,17.945632934570312)* (1412,17.656631469726562) (176,17.518150329589844) (234,17.439350128173828) (868,17.33161163330078) (917,17.126127243041992) (157,17.0196590423584) (982,16.964384078979492) (1244,16.94672966003418) (951,16.94623374938965) (198,16.786380767822266) (1415,16.30112075805664) (614,16.074220657348633) (166,15.931231498718262) (986,15.883522033691406) (184,15.752347946166992)
20: (603,18.65694236755371) (755,18.53546142578125)* (1222,18.254182815551758) (2605,17.950172424316406) (238,17.194211959838867) (2667,17.0399112701416) (5927,17.01214027404785) (8390,16.478683471679688) (2165,16.47614097595215) (103,16.396806716918945) (3411,16.263330459594727) (81,16.16501808166504) (1548,16.14444923400879) (845,16.132564544677734) (2702,16.04075813293457) (1745,15.950132369995117) (1226,15.835161209106445) (107,15.813958168029785) (4230,15.778066635131836) (101,15.743330001831055)
21: (349,14.928364753723145) (323,14.923996925354004) (290,14.656533241271973) (257,14.576689720153809) (296,14.471587181091309) (291,14.352964401245117) (265,14.347417831420898) (294,14.268350601196289) (386,14.195749282836914) (972,14.138668060302734) (354,14.127801895141602) (89,14.069672584533691)* (350,14.03666877746582) (908,14.019634246826172) (326,13.922924995422363) (293,13.865181922912598)* (161,13.850627899169922) (333,13.768646240234375) (909,13.738166809082031) (466,13.696382522583008)*
22: (923,18.052818298339844) (2384,17.751108169555664) (2379,17.61888313293457) (3032,17.601194381713867) (2576,17.585494995117188) (1547,17.5333194732666) (2744,17.51009750366211) (2586,17.462026596069336) (4099,17.397546768188477) (2850,17.322187423706055) (809,17.156265258789062)* (978,16.924837112426758) (500,16.80398178100586) (2155,16.74570655822754) (5966,16.664413452148438) (953,16.563386917114258) (2955,16.325027465820312) (5638,16.298322677612305) (3245,16.285888671875) (2143,16.26828384399414)
