userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,50.174537658691406) (51,49.95536804199219)* (1014,49.106544494628906) (187,49.09053039550781) (997,48.900047302246094) (59,48.88568115234375)* (4308,48.70415496826172) (998,48.684844970703125) (1073,48.46005630493164) (1892,48.42245101928711) (61,48.31501007080078)* (1013,48.30491256713867) (193,48.29257583618164) (877,48.16304016113281) (993,48.14425277709961) (1713,48.136940002441406) (1019,48.09062194824219) (3201,48.00580596923828) (511,47.96918487548828) (91,47.937923431396484)*
3: (7694,46.244956970214844) (11205,45.86573028564453) (3506,45.664337158203125) (18716,45.54623031616211) (13827,45.47807693481445) (18712,45.471893310546875) (18723,45.459800720214844) (11377,45.44882583618164) (7485,45.42869186401367) (18715,45.36976623535156) (16748,45.205257415771484) (18722,45.18370819091797) (7467,45.12646484375) (7015,45.05254364013672) (18724,45.03386306762695) (7021,45.033653259277344) (18713,45.00934600830078) (5332,44.98833465576172) (7483,44.97046661376953) (1943,44.95519256591797)
4: (190,48.30009460449219)* (1001,48.09617614746094) (1713,47.87143325805664) (511,47.734771728515625) (1072,47.615501403808594) (159,47.55485916137695)* (70,47.48988723754883)* (1104,47.380653381347656) (172,47.374267578125)* (30,47.17816162109375) (229,47.12449264526367) (7,47.06909942626953) (75,47.064308166503906) (75,47.064308166503906) (1014,47.05247116088867) (877,47.01226806640625) (99,46.93035888671875) (533,46.86711120605469) (1061,46.832618713378906) (59,46.82653045654297)
5: (429,48.81026077270508) (418,48.558135986328125) (441,48.486663818359375) (436,48.20425033569336) (159,48.12697219848633) (599,48.00209045410156) (1504,47.99513626098633) (615,47.96563720703125) (863,47.87533187866211) (859,47.822532653808594) (709,47.714969635009766) (163,47.655147552490234) (2531,47.63288879394531) (1098,47.56169509887695) (81,47.3941535949707) (533,47.380245208740234) (1976,47.351951599121094) (416,47.33320999145508) (1090,47.31568145751953) (424,47.28630447387695)
6: (157,59.29412841796875) (67,59.14853286743164) (67,59.14853286743164) (2054,58.97832107543945) (1694,58.877197265625) (987,58.218502044677734) (251,58.202980041503906)* (13164,58.04853057861328) (7506,58.01050567626953) (1464,58.0090446472168) (69,57.9951286315918) (69,57.9951286315918) (266,57.98563766479492)* (1494,57.98167037963867) (2222,57.944175720214844) (1825,57.925941467285156) (295,57.8857421875) (310,57.796363830566406) (301,57.7748908996582) (55,57.77262878417969)
7: (292,52.22372817993164)* (55,52.005550384521484)* (701,51.985782623291016) (302,51.92383575439453)* (333,51.54342269897461)* (349,51.45540237426758) (466,51.39188003540039) (461,51.34339904785156) (157,51.182918548583984) (525,51.18212890625) (679,51.00608825683594) (318,50.96283721923828)* (523,50.921722412109375) (544,50.83607482910156) (352,50.82918930053711) (907,50.59144592285156) (1934,50.57654571533203) (906,50.56555938720703) (344,50.52100372314453) (161,50.51508331298828)
8: (67,57.62698745727539) (67,57.62698745727539) (157,57.31615447998047) (302,57.08088684082031)* (701,56.990787506103516) (291,56.965858459472656)* (333,56.85325241088867) (641,56.614559173583984) (55,56.60884475708008) (310,56.581947326660156) (306,56.57225036621094) (301,56.57065200805664) (2523,56.39995574951172) (455,56.3955078125) (5249,56.33611297607422) (161,56.28310775756836) (787,56.25978469848633) (679,56.254981994628906) (1459,56.23492431640625) (1447,56.15974044799805)
9: (2247,56.53266906738281) (2179,56.25165939331055) (475,56.11048126220703) (1613,56.066856384277344) (6618,55.9774055480957) (2100,55.96992874145508) (2236,55.96279525756836) (278,55.669681549072266) (1919,55.647762298583984) (754,55.63819885253906) (2096,55.53856658935547) (2428,55.41990280151367) (968,55.368778228759766) (9013,55.36764144897461) (2226,55.35297393798828) (2923,55.28837203979492) (1859,55.284507751464844) (2242,55.26938247680664) (1797,55.24180221557617) (2441,55.225975036621094)
10: (225,45.00684356689453)* (1400,44.85456848144531) (207,44.8026123046875) (1090,44.702362060546875) (203,44.485626220703125) (441,44.48040008544922)* (1424,44.44020462036133) (195,44.337745666503906) (227,44.24267578125) (1390,44.20718765258789) (615,44.132347106933594) (217,44.132041931152344)* (1239,43.996150970458984) (533,43.98516845703125) (1106,43.88390350341797) (709,43.8828239440918) (436,43.84883117675781)* (703,43.838111877441406) (190,43.8272819519043) (226,43.792266845703125)
11: (89,58.45846176147461)* (300,58.2766227722168)* (295,58.1379508972168)* (333,58.10604476928711) (302,57.93629455566406) (306,57.762542724609375)* (257,57.68299102783203) (291,57.67051315307617) (701,57.63121795654297) (378,57.361602783203125) (475,57.306915283203125)* (161,57.18911361694336) (55,57.13711929321289) (907,57.108253479003906) (310,57.070953369140625) (679,56.91847610473633) (972,56.912086486816406) (498,56.815086364746094) (329,56.81007766723633)* (328,56.590370178222656)
12: (190,47.59843063354492) (7,47.35485076904297) (1104,47.27589416503906) (1044,47.23927688598633) (1854,46.94229507446289) (498,46.81023025512695)* (198,46.8001594543457) (209,46.75015640258789) (1179,46.71339416503906) (537,46.69477462768555) (173,46.599143981933594) (1714,46.59086608886719) (5079,46.58439254760742) (930,46.475547790527344) (1672,46.41977310180664) (500,46.3701171875)* (475,46.32206726074219) (1180,46.31058120727539) (2014,46.24533462524414) (234,46.187923431396484)
