userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,19.215042114257812) (1394,18.65546989440918) (3501,18.620258331298828) (51,17.978286743164062)* (187,17.931753158569336) (1073,17.878080368041992) (70,17.830984115600586)* (1014,17.715566635131836) (1713,17.70746612548828) (238,17.70488739013672) (59,17.322528839111328)* (511,17.299755096435547) (1464,17.22531509399414) (1833,17.193639755249023) (155,17.178936004638672) (993,17.085351943969727) (3992,17.044742584228516) (1098,16.91805076599121) (1824,16.87924575805664) (1836,16.81615447998047)
3: (2667,19.484773635864258) (5348,18.922452926635742) (2678,18.484622955322266) (3982,18.4411678314209) (11520,18.417736053466797) (5332,18.355167388916016) (16748,18.08950424194336) (2702,17.814735412597656) (1845,17.687877655029297) (1945,17.619714736938477) (2696,17.576629638671875) (5040,17.564342498779297) (8390,17.239336013793945) (17443,17.221487045288086) (17194,17.209169387817383) (2685,17.199331283569336) (6052,17.167566299438477) (9718,17.125749588012695) (2040,17.071908950805664) (2158,17.065689086914062)
4: (511,15.732678413391113) (389,15.517958641052246) (930,15.370734214782715) (190,15.328676223754883)* (1104,15.24061393737793) (518,15.04234504699707) (63,14.983431816101074) (63,14.983431816101074) (726,14.860109329223633) (959,14.7965087890625) (1713,14.789170265197754) (378,14.783336639404297) (81,14.647008895874023) (70,14.530998229980469)* (171,14.277554512023926)* (486,14.210020065307617) (1464,14.204944610595703) (961,14.20162296295166) (1001,14.164730072021484) (316,14.154959678649902)
5: (418,18.01344871520996) (223,17.215988159179688)* (602,17.12763023376465) (3057,17.087238311767578) (65,16.833181381225586) (65,16.833181381225586) (163,16.626667022705078) (615,16.394943237304688) (204,16.26679801940918)* (632,16.241811752319336) (436,16.11099624633789) (445,16.062349319458008) (231,16.01108741760254)* (964,15.958475112915039) (622,15.948752403259277) (1098,15.791975975036621) (2277,15.6673583984375) (81,15.59817123413086) (718,15.541245460510254) (1424,15.527623176574707)
6: (9585,18.69808006286621) (6288,16.488759994506836) (266,16.48020362854004)* (6914,16.36617088317871) (69,15.784151077270508) (69,15.784151077270508) (251,15.722882270812988)* (11078,15.547635078430176) (1936,15.460695266723633) (3488,15.376548767089844) (322,15.366162300109863) (1427,15.297222137451172) (2220,15.187073707580566) (15923,15.1459379196167) (12406,15.143012046813965) (157,15.110404014587402) (8159,15.01685619354248) (2919,14.981884956359863) (913,14.934015274047852) (2179,14.788086891174316)
7: (292,14.384967803955078)* (461,14.175280570983887) (701,14.139509201049805) (302,14.105440139770508)* (466,13.990433692932129) (349,13.983367919921875) (333,13.967462539672852)* (344,13.6268892288208) (318,13.613934516906738)* (1459,13.343160629272461) (290,13.28983211517334)* (523,13.281935691833496) (913,13.24946403503418) (679,13.223572731018066) (55,13.086668968200684)* (342,13.079522132873535) (317,12.984277725219727)* (908,12.918922424316406) (1052,12.719191551208496) (1934,12.709080696105957)
8: (786,16.64599609375) (909,16.5021915435791) (291,16.126401901245117)* (7290,16.042949676513672) (305,15.945606231689453) (326,15.77352523803711) (2392,15.741305351257324) (2019,15.690821647644043) (465,15.652135848999023) (1459,15.588537216186523) (3489,15.579363822937012) (5767,15.559069633483887) (1463,15.362930297851562) (294,15.254084587097168) (3575,15.190535545349121) (311,15.075428009033203)* (455,14.919014930725098) (378,14.805521965026855) (296,14.709585189819336)* (1601,14.638030052185059)
9: (1910,15.580860137939453) (378,14.67431354522705)* (930,14.552847862243652) (2944,14.47412109375) (518,14.453393936157227) (9576,14.321986198425293) (2014,13.964197158813477) (2806,13.941835403442383) (1797,13.921073913574219) (2428,13.899789810180664) (2092,13.79173469543457) (9013,13.785806655883789) (89,13.784164428710938) (754,13.7789306640625) (390,13.70406436920166)* (955,13.588014602661133) (5575,13.519186973571777) (8398,13.446294784545898) (1919,13.398348808288574) (2100,13.389081001281738)
10: (618,16.389558792114258) (217,16.244083404541016)* (615,16.238889694213867) (1424,15.758200645446777) (604,15.600130081176758) (3057,15.49223518371582) (225,15.409947395324707)* (629,15.330977439880371) (622,15.198802947998047) (2277,15.159253120422363) (207,15.06670093536377) (227,14.993629455566406) (1390,14.959458351135254) (206,14.939724922180176) (210,14.881880760192871) (1632,14.880475044250488) (195,14.800822257995605) (231,14.724202156066895) (1090,14.723265647888184) (1106,14.665698051452637)
11: (89,16.535425186157227)* (161,16.52370262145996) (907,16.170520782470703) (475,15.973705291748047)* (300,15.933015823364258)* (295,15.840806007385254)* (306,15.748286247253418)* (701,15.694755554199219) (333,15.511513710021973) (302,15.402063369750977) (328,15.378885269165039) (329,15.168257713317871)* (310,15.050870895385742) (327,14.981644630432129)* (299,14.755807876586914) (913,14.67309284210205) (5988,14.622756958007812) (1449,14.58276081085205) (458,14.552952766418457)* (538,14.538873672485352)
12: (1854,15.646016120910645) (405,14.913877487182617)* (1104,14.82538890838623) (1091,14.74525260925293) (490,14.677416801452637)* (2956,14.575540542602539) (726,14.507206916809082) (198,14.490860939025879) (1179,14.486650466918945) (7,14.471148490905762) (536,14.4385347366333) (498,14.244406700134277)* (966,14.187711715698242) (1874,14.120901107788086) (978,14.109609603881836) (1145,14.105243682861328) (1704,14.063773155212402) (2014,14.046332359313965) (519,13.94064998626709)* (1859,13.913558006286621)
