,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
0,0,0.09525,0.13689,0.15237,0.15649,0.11854,0.08518,0.09503,0.13468
1,1,0.10378,0.15115,0.16557,0.17139,0.12916,0.09406,0.1043,0.1525
2,2,0.10365,0.15179,0.16412,0.17097,0.129,0.09445,0.10442,0.1533
3,3,0.10888,0.15701,0.17113,0.17704,0.1355,0.0977,0.10891,0.15913
4,4,0.10658,0.15434,0.17014,0.17583,0.13265,0.09604,0.10726,0.15636
5,5,0.10518,0.15395,0.17016,0.17623,0.1309,0.0958,0.1059,0.15575
6,6,0.10964,0.15319,0.17311,0.17531,0.13645,0.09532,0.11033,0.15337
7,7,0.10811,0.15281,0.17568,0.17884,0.13455,0.09509,0.10929,0.15531
8,8,0.11066,0.15535,0.17716,0.17994,0.13772,0.09667,0.11181,0.15642
9,9,0.10964,0.15523,0.17878,0.18195,0.13645,0.09659,0.11112,0.15626
10,10,0.11028,0.16058,0.17711,0.18298,0.13724,0.09992,0.11182,0.16223
11,11,0.11537,0.16083,0.1862,0.18797,0.14358,0.10008,0.11677,0.16131
12,12,0.11461,0.16401,0.18516,0.1899,0.14263,0.10206,0.11556,0.16536
13,13,0.11091,0.16236,0.18235,0.18816,0.13803,0.10103,0.11212,0.16265
14,14,0.11397,0.16236,0.18232,0.18688,0.14184,0.10103,0.11437,0.16289
15,15,0.11703,0.16389,0.18839,0.19054,0.14564,0.10198,0.1182,0.1638
16,16,0.1183,0.16682,0.19059,0.19319,0.14723,0.1038,0.11944,0.16611
17,17,0.11117,0.16007,0.1842,0.18815,0.13835,0.0996,0.11254,0.16003
18,18,0.12454,0.17586,0.1973,0.20076,0.15499,0.10943,0.12542,0.17546
19,19,0.12046,0.17076,0.19516,0.1985,0.14992,0.10626,0.12165,0.17059
20,20,0.11995,0.17102,0.19225,0.19653,0.14929,0.10642,0.12086,0.17113
21,21,0.12581,0.17484,0.20087,0.20298,0.15658,0.1088,0.12701,0.1767
22,22,0.12326,0.17102,0.19784,0.19907,0.15341,0.10642,0.12422,0.17133
23,23,0.11652,0.17242,0.19085,0.19813,0.14501,0.10729,0.11774,0.17199
24,24,0.12008,0.17153,0.19552,0.20024,0.14945,0.10674,0.12103,0.17368
25,25,0.12492,0.17789,0.19982,0.20453,0.15547,0.1107,0.12599,0.17871
26,26,0.11562,0.17267,0.19078,0.19848,0.1439,0.10745,0.11674,0.17229
27,27,0.12276,0.17458,0.19908,0.20232,0.15277,0.10864,0.12417,0.17492
28,28,0.12556,0.18108,0.20535,0.21045,0.15626,0.11268,0.12647,0.18103
29,29,0.12276,0.1798,0.20177,0.20833,0.15277,0.11189,0.1236,0.17983
