userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,60.729061126708984) (51,60.478668212890625)* (4308,60.35188293457031) (1073,60.26145935058594) (1014,60.11940383911133) (187,60.02652359008789) (59,59.92206573486328)* (1713,59.8930549621582) (1098,59.7582893371582) (1072,59.57716751098633) (1892,59.5313835144043) (1885,59.50275802612305) (3768,59.46878433227539) (1836,59.41993713378906) (11794,59.418235778808594) (3501,59.34492492675781) (1394,59.28071212768555) (157,59.23124694824219) (1062,59.20265197753906) (70,59.15004348754883)*
3: (14669,57.67216491699219) (15649,57.46900177001953) (10621,57.42671585083008) (14671,57.15829849243164) (14673,57.07729721069336) (14678,57.02195739746094) (14665,57.00983810424805) (14667,56.94968795776367) (12491,56.94486618041992) (15653,56.92961502075195) (15651,56.91347122192383) (14668,56.87903594970703) (15660,56.86830139160156) (14679,56.75917053222656) (10720,56.72526168823242) (14680,56.65447998046875) (15652,56.621009826660156) (14684,56.60569763183594) (15644,56.60210418701172) (6215,56.59342575073242)
4: (1001,56.07987976074219) (959,56.01148223876953) (67,55.937931060791016) (67,55.937931060791016) (1104,55.76616668701172) (1713,55.70747375488281) (190,55.64277648925781)* (511,55.6381721496582) (70,55.62654113769531)* (159,55.6144905090332)* (1072,55.513065338134766) (172,55.371707916259766)* (7,55.33633041381836) (227,55.25334548950195) (1014,55.136959075927734) (1098,55.01177215576172) (1892,54.97304153442383) (63,54.9602165222168) (63,54.9602165222168) (1394,54.89735412597656)
5: (429,52.763919830322266) (418,52.39471435546875) (859,52.35699462890625) (159,52.22262954711914) (88,52.123512268066406) (857,52.05121994018555) (533,52.038455963134766) (709,51.989688873291016) (436,51.97604751586914) (614,51.93879699707031) (602,51.9314079284668) (441,51.88282775878906) (163,51.86956024169922) (65,51.829105377197266) (65,51.829105377197266) (1976,51.8286018371582) (1090,51.650333404541016) (220,51.553466796875)* (173,51.53028869628906)* (1239,51.504844665527344)
6: (310,65.17338562011719) (4710,65.05863952636719) (67,64.75208282470703) (67,64.75208282470703) (157,64.72187805175781) (306,64.6029052734375) (329,64.59517669677734) (295,64.36621856689453) (289,64.28191375732422) (701,64.21685791015625) (525,64.11463928222656) (903,64.0927734375) (913,64.07936096191406) (55,64.07848358154297) (301,63.95785140991211) (161,63.923526763916016) (251,63.8707275390625)* (288,63.784698486328125) (2180,63.71449661254883) (294,63.714290618896484)
7: (292,55.055450439453125)* (55,54.738441467285156)* (701,54.718833923339844) (302,54.49646759033203)* (466,54.470306396484375) (349,54.421661376953125) (525,54.31547546386719) (333,54.14230728149414)* (461,53.99134063720703) (352,53.83710861206055) (318,53.81199645996094)* (679,53.77235794067383) (544,53.65962219238281) (913,53.64249801635742) (523,53.49336242675781) (1580,53.483673095703125) (1037,53.344146728515625) (161,53.32746505737305) (1456,53.29806900024414) (1934,53.24885559082031)
8: (161,65.06828308105469) (641,65.01578521728516) (479,64.9832992553711) (465,64.78496551513672) (67,64.30461883544922) (67,64.30461883544922) (291,64.2976303100586)* (637,64.14567565917969) (786,64.07108306884766) (909,64.02790832519531) (294,64.00569152832031) (302,63.98893356323242)* (157,63.95180892944336) (972,63.874935150146484) (378,63.871097564697266) (2052,63.85498809814453) (2067,63.802860260009766) (701,63.74047088623047) (2440,63.7241096496582) (251,63.700843811035156)*
9: (4437,68.1952133178711) (2086,68.1854019165039) (2101,68.0029296875) (2428,67.82675170898438) (9013,67.6269302368164) (390,67.54878234863281)* (2092,67.50114440917969) (754,67.4971694946289) (388,67.48497009277344)* (2512,67.46927642822266) (5575,67.36776733398438) (2097,67.20149993896484) (518,67.12720489501953) (10228,67.08887481689453) (9746,67.07171630859375) (2502,67.04256439208984) (3324,67.02885437011719) (2106,67.02365112304688) (930,67.00545501708984) (968,66.85649108886719)
10: (225,53.52207946777344)* (207,52.96653366088867) (1090,52.88399887084961) (217,52.87311553955078)* (227,52.827110290527344) (441,52.76821517944336)* (1239,52.7091064453125) (1424,52.685150146484375) (203,52.5074577331543) (618,52.491249084472656) (206,52.490013122558594) (615,52.4268684387207) (1106,52.399871826171875) (1376,52.396484375) (1504,52.39408874511719) (533,52.37501907348633) (1390,52.362876892089844) (210,52.30113983154297) (195,52.29475021362305) (1400,52.23925018310547)
11: (295,61.63441848754883)* (257,61.46623992919922) (161,61.45127868652344) (701,61.33205032348633) (306,61.256961822509766)* (291,61.25046920776367) (89,61.2037353515625)* (300,61.127716064453125)* (333,61.09290313720703) (329,61.064693450927734)* (302,61.05824279785156) (310,61.05793380737305) (475,60.843624114990234)* (360,60.7640266418457) (907,60.72567367553711) (913,60.579200744628906) (525,60.49635314941406) (299,60.43519592285156) (679,60.30812454223633) (55,60.03765869140625)
12: (475,57.85539627075195) (1104,57.59210968017578) (89,57.353633880615234) (7,57.333892822265625) (1044,57.236236572265625) (190,56.88352966308594) (930,56.86452865600586) (498,56.826873779296875)* (289,56.621097564697266) (1714,56.376861572265625) (198,56.37678909301758) (544,56.26661682128906) (288,56.19399642944336)* (972,56.187889099121094) (306,56.18569564819336) (1854,56.173683166503906) (295,56.156349182128906) (707,56.11345291137695) (173,56.09678268432617) (1099,56.078956604003906)
13: (306,53.35544204711914) (289,53.31909942626953) (288,53.27918243408203) (302,52.703765869140625)* (701,52.61000442504883) (328,52.49907302856445)* (349,52.38053894042969)* (1037,52.37177276611328) (475,52.224853515625) (1456,52.12407684326172) (329,52.09928894042969) (679,51.96143341064453) (257,51.95420837402344) (293,51.87716293334961) (320,51.850181579589844) (291,51.78347396850586) (704,51.674381256103516) (1032,51.59473419189453) (301,51.58509063720703) (903,51.56412887573242)
14: (8110,58.177364349365234) (8126,57.98590850830078) (1783,57.875244140625) (8812,57.86982727050781) (12123,57.85368728637695) (2864,57.64937973022461) (8120,57.509178161621094) (6165,57.40493392944336) (2842,57.363521575927734) (11919,57.35808563232422) (12115,57.32579803466797) (3776,57.27836990356445) (613,57.232765197753906) (12599,57.21949005126953) (8128,57.207218170166016) (2902,57.18400573730469) (8803,57.15439987182617) (8843,57.107330322265625) (8808,57.05459213256836) (7056,56.96722412109375)
15: (418,56.68033218383789) (206,56.548248291015625) (858,56.44868087768555) (81,56.309913635253906) (441,56.3050422668457) (859,56.28178787231445) (197,56.243648529052734)* (715,56.19528579711914) (196,56.188232421875) (199,56.095436096191406) (1504,56.08127212524414) (2531,55.98835754394531) (863,55.67031478881836) (3259,55.66920471191406) (1242,55.6618537902832) (1881,55.60142135620117) (4129,55.54323959350586) (416,55.49109649658203) (857,55.467193603515625) (53,55.46302795410156)
16: (388,61.0721321105957) (3982,60.564552307128906) (375,60.37944030761719) (2076,60.235599517822266) (374,60.166473388671875) (2094,60.125526428222656) (2097,60.06797409057617) (3490,59.75947570800781) (5568,59.73863220214844) (2515,59.73554229736328) (5999,59.59803771972656) (9567,59.540164947509766) (2089,59.488258361816406) (7620,59.443241119384766) (5574,59.441444396972656) (289,59.31606674194336) (3324,59.3005485534668) (379,59.26739501953125) (4880,59.250553131103516) (8002,59.249595642089844)
17: (333,60.43572235107422) (300,60.26828384399414)* (701,59.77400207519531)* (1934,59.72929763793945) (291,59.62759780883789) (471,59.550716400146484) (1470,59.26939010620117) (321,59.221717834472656) (362,59.162017822265625) (302,59.14277267456055) (342,59.120601654052734) (2546,59.11285400390625) (295,59.07712936401367) (793,59.07183074951172) (4260,59.03814697265625) (458,59.03462219238281) (1684,59.0245475769043) (292,59.01571273803711)* (528,58.98344802856445)* (470,58.899112701416016)
