userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,65.70140075683594) (3992,65.2854232788086) (1394,65.27658081054688) (157,65.0290756225586) (51,64.99006652832031)* (1098,64.94988250732422) (1073,64.78324127197266) (601,64.76036834716797) (603,64.6366958618164) (1836,64.58091735839844) (1825,64.26693725585938) (5256,64.19303131103516) (1885,64.10499572753906) (3501,63.97771072387695) (1900,63.90345001220703) (1464,63.856544494628906) (1892,63.838035583496094) (1713,63.8099250793457) (1014,63.780303955078125) (4913,63.7158088684082)
3: (12491,62.927894592285156) (1961,62.74683380126953) (3687,62.35683059692383) (3694,61.66705322265625) (5043,61.661808013916016) (749,61.50983428955078) (3697,61.42583465576172) (10002,61.137290954589844) (3686,61.11515808105469) (2673,60.67988586425781) (3701,60.51092529296875) (2593,60.434776306152344) (762,60.2778205871582) (3698,60.26431655883789) (9446,60.22403335571289) (3688,60.17607879638672) (4053,60.116695404052734) (2416,59.940704345703125) (6588,59.92570495605469) (1236,59.888221740722656)
4: (190,66.87516021728516)* (229,65.61817169189453) (511,65.48448181152344) (1104,65.21940612792969) (1375,65.04362487792969) (159,64.94719696044922)* (233,64.90560913085938) (533,64.7062759399414) (7,64.55220794677734) (228,64.54283905029297) (227,64.54072570800781) (171,64.5207748413086)* (707,64.46414947509766) (959,64.4586410522461) (1384,64.3249282836914) (99,64.28986358642578) (63,64.22957611083984) (63,64.22957611083984) (81,64.21148681640625) (1713,64.15861511230469)
5: (859,64.92024993896484) (441,64.47178649902344) (418,64.27881622314453) (436,64.09940338134766) (429,64.08163452148438) (163,64.01655578613281) (709,63.812164306640625) (615,63.72549819946289) (1957,63.719947814941406) (220,63.54653549194336)* (1504,63.52648162841797) (599,63.50910949707031) (533,63.50751495361328) (159,63.280677795410156) (614,63.26224136352539) (424,63.24773025512695) (233,63.23757553100586)* (964,63.21775817871094) (56,63.184715270996094) (56,63.184715270996094)
6: (3063,64.45679473876953) (8991,64.19122314453125) (8371,63.86177444458008) (7623,63.542572021484375) (12138,63.49260330200195) (8372,63.24432373046875) (69,63.23021697998047) (69,63.23021697998047) (266,63.192291259765625)* (5249,63.1789436340332) (1764,63.1357536315918) (4987,63.00244140625) (1769,62.98097229003906) (11764,62.96224594116211) (1553,62.90562438964844) (1759,62.901390075683594) (2220,62.878662109375) (1758,62.831520080566406) (1834,62.82432556152344) (246,62.757198333740234)*
7: (913,62.181182861328125) (292,62.131370544433594)* (290,61.72797393798828)* (55,61.543426513671875)* (349,61.51171112060547) (302,61.51087188720703)* (333,61.29026794433594)* (466,61.2786865234375) (679,60.898128509521484) (461,60.89205551147461) (318,60.81462097167969)* (455,60.78160858154297) (701,60.751895904541016) (907,60.71773147583008) (523,60.63404083251953) (476,60.46977996826172) (465,60.38245391845703) (456,60.3740119934082) (285,60.251861572265625) (342,60.24241256713867)
8: (1459,66.08306121826172) (478,65.59684753417969) (466,65.45337677001953) (637,65.16204833984375) (5767,65.11469268798828) (302,65.10865020751953)* (1590,64.97665405273438) (13265,64.95938110351562) (378,64.90349578857422) (333,64.87799072265625) (680,64.81073760986328) (8718,64.78804016113281) (972,64.76729583740234) (67,64.73410034179688) (67,64.73410034179688) (908,64.7044906616211) (2035,64.64437103271484) (55,64.63895416259766) (461,64.59050750732422) (686,64.55546569824219)
9: (396,70.00846862792969)* (390,68.3161392211914)* (1910,68.17645263671875) (930,68.1519546508789) (5575,67.628662109375) (498,67.43806457519531) (1919,67.42096710205078) (2062,67.40573120117188) (1114,67.34282684326172) (5087,67.20833587646484) (2945,67.13692474365234) (4257,67.06034851074219) (2098,66.9918441772461) (289,66.8961410522461) (968,66.86190795898438) (1859,66.77909851074219) (2944,66.67222595214844) (1339,66.64311981201172) (2655,66.56842803955078) (8292,66.50489807128906)
10: (225,66.13531494140625)* (207,66.07038879394531) (618,65.93437194824219) (6217,65.9144515991211) (217,65.38249206542969)* (1390,65.37998962402344) (615,65.03667449951172) (227,64.98445892333984) (1090,64.97013092041016) (1632,64.96980285644531) (898,64.90666198730469) (5414,64.8665771484375) (441,64.80990600585938)* (5027,64.71176147460938) (1400,64.63652801513672) (210,64.60840606689453) (1097,64.58763885498047) (419,64.5052719116211)* (622,64.46671295166016) (195,64.44910430908203)
11: (257,69.1176986694336) (1459,68.67445373535156) (89,68.65923309326172)* (310,68.11902618408203) (333,68.02645111083984) (300,67.81019592285156)* (291,67.80683135986328) (295,67.80635833740234)* (302,67.78388214111328) (913,67.64239501953125) (2454,67.44092559814453) (2977,67.35334014892578) (378,67.14561462402344) (701,66.97633361816406) (299,66.92186737060547) (544,66.89427185058594) (907,66.78724670410156) (309,66.74491882324219) (523,66.72528076171875) (360,66.69956970214844)
12: (1179,62.27423095703125) (1854,62.202728271484375) (190,62.04366683959961) (7,61.88706588745117) (1104,61.8364143371582) (498,61.77465057373047)* (89,61.61119079589844) (930,61.58638000488281) (490,61.418701171875)* (173,61.31911087036133) (500,61.22867202758789)* (198,61.140647888183594) (405,60.970149993896484)* (209,60.86117172241211) (972,60.814334869384766) (978,60.75322723388672) (2014,60.6989860534668) (536,60.61758041381836) (1180,60.61539077758789) (2956,60.553558349609375)
13: (288,65.9811019897461) (289,65.85096740722656) (302,64.67803192138672)* (306,64.60938262939453) (701,64.58967590332031) (328,64.15190887451172)* (679,63.9406623840332) (291,63.93446350097656) (349,63.85694122314453)* (377,63.65350341796875) (704,63.439239501953125) (257,63.252349853515625) (329,63.21120071411133) (293,63.19139862060547) (344,63.18405532836914)* (475,63.17713165283203) (331,63.12343978881836) (907,63.066619873046875) (903,63.047115325927734) (157,63.005619049072266)
14: (2902,65.77980041503906) (5375,63.241371154785156) (5382,62.925228118896484) (4542,61.98895263671875) (1469,61.822364807128906) (7056,61.8199348449707) (8314,61.779605865478516) (8111,61.71542739868164) (8824,61.577789306640625) (8812,61.574485778808594) (992,61.56660461425781) (3065,61.50761413574219) (582,61.445526123046875)* (4535,61.42695999145508) (735,61.37572479248047) (5660,61.32365036010742) (4520,61.245506286621094) (11923,61.15845489501953) (733,61.09942626953125) (3001,61.06966781616211)
15: (418,66.30908203125) (7123,65.7638168334961) (748,65.49803161621094) (1098,65.48446655273438) (81,65.400146484375) (53,65.3643569946289) (53,65.3643569946289) (1122,65.26657104492188) (3693,65.24337005615234) (206,65.21136474609375) (1881,65.1458969116211) (163,65.12979125976562) (6762,64.94180297851562) (8837,64.82866668701172) (630,64.82749938964844)* (445,64.73920440673828) (196,64.64546203613281) (52,64.5980453491211) (52,64.5980453491211) (237,64.50680541992188)
16: (3966,62.99509048461914) (3953,61.93223571777344) (4771,61.88869094848633) (4565,61.74684524536133) (7994,61.47661209106445) (2515,61.47441101074219) (7864,61.25788879394531) (4769,61.18141174316406) (4770,60.939048767089844) (7390,60.93330383300781) (669,60.917728424072266)* (16143,60.84865188598633) (4580,60.79281234741211) (4765,60.78511047363281) (157,60.72932052612305) (8163,60.64940643310547) (5985,60.641727447509766) (3570,60.621253967285156) (16142,60.55120086669922) (6064,60.522300720214844)
17: (300,67.82958221435547)* (1934,67.41996765136719) (1684,67.38595581054688) (471,67.23747253417969) (333,67.0791015625) (701,67.05191040039062)* (306,66.97923278808594)* (523,66.9769515991211) (689,66.8231201171875)* (470,66.72312927246094) (903,66.5313720703125) (1059,66.52289581298828) (292,66.4758529663086)* (430,66.45289611816406) (2546,66.45072174072266) (3319,66.44913482666016) (2020,66.36502838134766) (1243,66.3489761352539) (548,66.33074188232422)* (1485,66.32710266113281)
18: (227,68.82655334472656)* (959,68.23660278320312) (220,68.21475219726562)* (2346,68.0487289428711) (1244,67.76343536376953) (1412,67.73681640625) (250,67.60655975341797) (917,67.29544067382812) (245,67.19835662841797) (1249,67.06511688232422) (945,67.0487289428711) (614,66.98917388916016) (176,66.76795959472656) (157,66.74275207519531) (184,66.70748138427734) (1406,66.70455169677734) (253,66.68882751464844) (868,66.6086654663086) (951,66.60384368896484) (234,66.51777648925781)
20: (1222,72.09046173095703) (2165,70.85379028320312) (2667,70.16050720214844) (5358,70.10256958007812) (1745,70.038818359375) (603,69.71472930908203) (1236,69.64024353027344) (3707,69.54652404785156) (2702,69.51049041748047) (1548,69.42279815673828) (101,69.31891632080078) (2174,69.10598754882812) (5929,69.06803894042969) (2672,68.96200561523438) (2146,68.94927215576172) (2156,68.9398193359375) (2164,68.8399658203125) (11852,68.74505615234375) (1401,68.71919250488281) (1752,68.6407699584961)
21: (349,62.73078536987305) (296,61.975162506103516) (294,61.88151931762695) (323,61.74021911621094) (2801,61.49434280395508) (915,61.38806915283203) (257,61.30839157104492) (1580,61.106510162353516) (89,61.103694915771484)* (908,61.018089294433594) (306,61.01775360107422)* (790,61.006893157958984)* (265,60.883934020996094) (2523,60.872711181640625) (1684,60.765357971191406) (291,60.760498046875) (157,60.71708297729492) (466,60.71444320678711)* (311,60.67368698120117) (455,60.66817092895508)
22: (500,65.21044921875) (5100,65.13169860839844) (835,65.01245880126953)* (2955,64.75563049316406) (1861,64.69495391845703) (12780,64.53882598876953) (1541,64.46427917480469) (2744,64.43289184570312) (2143,64.36112976074219) (2586,64.34864807128906) (2062,64.31351470947266) (2576,64.07975006103516) (2190,64.07376861572266) (1547,63.76634216308594) (923,63.75773239135742) (779,63.7501106262207) (2961,63.68860626220703) (809,63.571556091308594)* (953,63.53887176513672) (978,63.4534797668457)
23: (59,62.91299819946289) (441,61.72852325439453) (2531,61.571205139160156) (1083,61.49797439575195) (429,61.417537689208984) (1119,61.41740417480469) (868,61.40644073486328)* (2493,61.33878707885742) (2490,61.12467956542969) (5913,61.06342697143555) (154,61.051998138427734) (857,60.93922805786133)* (1534,60.7996826171875) (1878,60.76510238647461) (1884,60.70112228393555) (51,60.67594909667969) (3280,60.63418197631836) (2481,60.555641174316406) (3941,60.32061004638672) (227,60.26696014404297)*
24: (67,70.20771026611328)* (67,70.20771026611328)* (55,69.80291748046875)* (679,69.30541229248047) (2544,69.13925170898438) (289,69.05927276611328)* (1934,69.03302001953125) (548,68.75910186767578) (316,68.752197265625)* (65,68.7431869506836) (65,68.7431869506836) (157,68.65704345703125)* (292,68.63955688476562) (530,68.587890625) (1243,68.58352661132812) (3057,68.53021240234375) (288,68.44388580322266)* (697,68.41483306884766) (985,68.31977081298828) (3081,68.3038101196289)
25: (349,64.29537200927734)* (257,63.90189743041992) (299,63.54998016357422) (292,63.283058166503906)* (89,62.99418258666992)* (285,62.785526275634766) (279,62.72425842285156) (644,62.50080490112305) (291,62.46385955810547) (161,62.424041748046875) (479,62.2795295715332) (332,62.243438720703125) (265,62.23965835571289) (465,62.19844436645508) (1596,62.087703704833984) (1602,62.03592300415039) (251,62.00736618041992) (326,61.980712890625) (525,61.9273796081543) (466,61.78487014770508)
26: (918,70.89682006835938)* (1369,70.47769165039062) (1339,70.34689331054688) (1350,70.34183502197266) (843,70.09413146972656) (710,69.83392333984375) (1342,69.77113342285156) (707,69.75531005859375)* (1338,69.6748046875) (1654,69.64710998535156) (4087,69.5330581665039) (188,69.37938690185547) (1374,69.19945526123047) (1358,69.18833923339844) (4135,69.09614562988281) (1110,69.0912857055664) (1993,68.6490478515625) (846,68.53597259521484) (1545,68.50255584716797) (706,68.34956359863281)
