,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
0,0,0.07562,0.12338,0.11569,0.13011,0.0756,0.06167,0.09217,0.14738
1,1,0.09712,0.15494,0.14048,0.15498,0.09709,0.07745,0.11018,0.17372
2,2,0.09702,0.15386,0.14279,0.15725,0.09699,0.07691,0.11454,0.17817
3,3,0.09873,0.158,0.14585,0.1614,0.0987,0.07898,0.11776,0.18355
4,4,0.10093,0.15923,0.15087,0.16555,0.1009,0.07959,0.12082,0.18686
5,5,0.10784,0.17202,0.15895,0.17568,0.10781,0.08598,0.1268,0.19916
6,6,0.10465,0.16753,0.158,0.1757,0.10462,0.08374,0.13001,0.20091
7,7,0.11494,0.18206,0.17052,0.18746,0.11491,0.091,0.13847,0.21332
8,8,0.10621,0.17018,0.16073,0.17885,0.10618,0.08506,0.13167,0.20513
9,9,0.11562,0.18409,0.16933,0.18707,0.11558,0.09202,0.13704,0.21638
10,10,0.11886,0.18696,0.17601,0.19296,0.11882,0.09345,0.13895,0.21612
11,11,0.11567,0.18452,0.17077,0.18895,0.11564,0.09223,0.13815,0.21684
12,12,0.11333,0.18301,0.16993,0.18891,0.1133,0.09148,0.13596,0.21382
13,13,0.119,0.18807,0.17648,0.19421,0.11896,0.09401,0.14271,0.22226
14,14,0.10862,0.17363,0.16417,0.18356,0.10859,0.08679,0.1358,0.2129
15,15,0.12206,0.19128,0.18198,0.19882,0.12203,0.09561,0.14647,0.22363
16,16,0.12019,0.18993,0.18013,0.19746,0.12016,0.09494,0.14134,0.22063
17,17,0.10919,0.17678,0.1648,0.18524,0.10916,0.08836,0.13859,0.21754
18,18,0.12116,0.18956,0.18186,0.19894,0.12113,0.09475,0.14415,0.22244
19,19,0.11841,0.18731,0.17766,0.1957,0.11837,0.09363,0.14625,0.22422
20,20,0.12159,0.19031,0.17949,0.19708,0.12156,0.09513,0.14606,0.22571
