userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,66.5004653930664)* (1001,66.44284057617188) (1073,66.3495864868164) (3768,65.73637390136719) (187,65.65632629394531) (601,65.55465698242188) (61,65.26447296142578)* (3501,65.24436950683594) (157,65.22391510009766) (1885,65.15556335449219) (1013,65.08396911621094) (1098,65.0744400024414) (1014,64.97669219970703) (1394,64.97187042236328) (1019,64.97078704833984) (1713,64.8739242553711) (1892,64.87320709228516) (3890,64.82498168945312) (238,64.73365020751953) (627,64.67364501953125)
3: (14667,61.8302001953125) (14680,61.64460372924805) (14665,61.64101028442383) (12884,61.621761322021484) (14678,61.603084564208984) (10621,61.5985107421875) (12886,61.59421157836914) (7565,61.58917236328125) (8201,61.587642669677734) (14679,61.57979965209961) (14677,61.57047653198242) (14672,61.563926696777344) (12881,61.55388259887695) (14669,61.54652786254883) (12887,61.5444450378418) (14684,61.54154586791992) (12878,61.537662506103516) (14673,61.53009033203125) (14671,61.52728271484375) (14668,61.520843505859375)
4: (190,64.89395141601562)* (1104,64.5966567993164) (7,64.3061294555664) (930,64.0031509399414) (518,63.873531341552734) (377,63.836585998535156) (959,63.631893157958984) (511,63.6077766418457) (378,63.53058624267578) (172,63.47678756713867)* (1713,63.474525451660156) (2014,63.38027572631836) (486,63.26236343383789) (67,63.253963470458984) (67,63.253963470458984) (234,63.219547271728516) (1001,63.19892501831055) (229,63.044498443603516) (159,63.017799377441406)* (89,63.0062255859375)
5: (88,64.61361694335938) (163,64.19596099853516) (429,64.19136047363281) (709,64.09076690673828) (859,63.919002532958984) (436,63.87038803100586) (220,63.82493591308594)* (65,63.79441833496094) (65,63.79441833496094) (1412,63.66796875) (418,63.601993560791016) (223,63.51951217651367)* (868,63.440338134765625) (159,63.43362808227539) (1090,63.43074035644531) (533,63.422203063964844) (56,63.41139602661133) (56,63.41139602661133) (602,63.36815643310547) (1976,63.335044860839844)
6: (1834,67.42487335205078) (6389,67.2159423828125) (575,66.8772201538086) (7869,66.72184753417969) (266,66.67869567871094)* (1762,66.6093978881836) (157,66.52220153808594) (1772,66.51028442382812) (892,66.48257446289062) (3488,66.3690185546875) (8071,66.3591537475586) (67,66.31267547607422) (67,66.31267547607422) (1489,66.28352355957031) (913,66.26163482666016) (12406,66.22388458251953) (251,66.20800018310547)* (356,66.12240600585938) (9905,66.07069396972656) (310,65.9678955078125)
7: (292,65.51235961914062)* (55,65.26930236816406)* (333,64.88298034667969)* (302,64.83639526367188)* (701,64.75373077392578) (523,64.5811538696289) (679,64.57196807861328) (466,64.45425415039062) (349,64.3875961303711) (157,64.0597915649414) (1934,63.996421813964844) (461,63.93679428100586) (352,63.92627716064453) (544,63.8657341003418) (1243,63.79216766357422) (318,63.77971649169922)* (525,63.57770538330078) (913,63.56100082397461) (323,63.53092575073242)* (97,63.47650146484375)
8: (786,64.50548553466797) (2067,64.47669219970703) (457,64.4287338256836) (1475,64.39762878417969) (67,64.27581024169922) (67,64.27581024169922) (161,64.23383331298828) (479,64.18960571289062) (913,64.13399505615234) (5249,64.1249008178711) (641,64.07124328613281) (465,64.05892944335938) (637,64.04354858398438) (701,63.96989440917969) (1602,63.944000244140625) (676,63.9294548034668) (2395,63.851322174072266) (294,63.821495056152344) (333,63.795841217041016) (291,63.77454376220703)*
9: (388,65.81929779052734)* (754,65.25328826904297) (5575,64.82649230957031) (480,64.77323913574219) (475,64.70637512207031) (2512,64.66560363769531) (9013,64.6632080078125) (5089,64.65663146972656) (1104,64.6453857421875) (2086,64.56216430664062) (2428,64.54731750488281) (190,64.5369873046875) (968,64.49996948242188) (2106,64.4461669921875) (4437,64.43380737304688) (1919,64.41309356689453) (5087,64.4001235961914) (1857,64.37541961669922) (7,64.33769226074219) (2101,64.31092071533203)
10: (225,64.79535675048828)* (227,64.77953338623047) (217,64.65814971923828)* (1090,64.64063262939453) (207,64.5010986328125) (615,64.48848724365234) (1390,64.43909454345703) (223,64.29399108886719) (618,64.21729278564453) (1048,64.10589599609375) (206,63.91954040527344) (441,63.902915954589844)* (222,63.86768341064453) (195,63.84690856933594) (1504,63.831459045410156) (210,63.67032241821289) (65,63.65556716918945) (65,63.65556716918945) (436,63.61751174926758)* (1400,63.560699462890625)
11: (89,69.11802673339844)* (333,68.30302429199219) (300,68.12129211425781)* (295,67.83161926269531)* (291,67.61547088623047) (498,67.52375793457031) (701,67.47856140136719) (907,67.42298889160156) (374,67.33599853515625) (302,67.29495239257812) (681,67.26513671875) (306,67.20752716064453)* (257,67.171142578125) (310,66.93145751953125) (475,66.900146484375)* (161,66.84222412109375) (318,66.83763885498047) (378,66.79474639892578) (679,66.79429626464844) (377,66.78911590576172)
12: (190,65.273193359375) (7,65.24578094482422) (930,65.21472930908203) (209,65.17349243164062) (1104,65.13826751708984) (498,64.8380355834961)* (2014,64.5899658203125) (173,64.54963684082031) (1044,64.17987060546875) (1714,64.11629486083984) (65,64.06466674804688) (65,64.06466674804688) (1854,64.02342987060547) (1672,63.861351013183594) (536,63.81706237792969) (5079,63.75307846069336) (1179,63.733726501464844) (234,63.66371536254883) (198,63.59516906738281) (89,63.532840728759766)
